Asset Number,Incident_Number,Short_Description,Status,Priority,Category,Subcategory,Assigned_To,Assigned_Group,Created_Date
600092,INC0010003,Server outage   Finance App,Closed,1   Critical,Infrastructure,Server,Michael Wong,Server Team,2024 04 01T10:05:43
600093,INC0010091,Mobile app configuration,Closed,3   Moderate,Infrastructure,Database,Emily Davis,Software Support,2024 04 06T04:56:31
600094,INC0010098,Authentication service failure,Stalled,1   Critical,Security,Authentication,Carlos Mendez,Identity Management,2024 04 18T15:47:33
600095,INC0010059,Multi factor authentication issue,Open,2   High,Security,Authentication,Unassigned,Security Team,2024 04 11T13:32:18
600096,INC0010044,Single sign on failure,Closed,2   High,Security,Authentication,Carlos Mendez,Identity Management,2024 04 09T11:58:33
600097,INC0010030,SSO integration request,In Progress,2   High,Security,Authentication,Alex Rodriguez,Identity Management,2024 04 05T11:33:21
600098,INC0010074,VPN client update failure,Stalled,2   High,Software,VPN,Alex Rodriguez,Network Team,2024 04 15T13:22:36
600099,INC0010019,Mobile app VPN configuration,In Progress,3   Moderate,Network,VPN,Alex Rodriguez,Network Team,2024 04 03T15:42:15
600100,INC0010005,VPN connection failure,Open,2   High,Network,VPN,Unassigned,Network Team,2024 04 02T07:33:21
600101,INC0010080,Password reset,Open,2   High,Account,Authentication,Unassigned,Exchange Team,2024 04 11T17:36:42
600102,INC0010008,Internet connectivity issues,In Progress,2   High,Network,Internet,Alex Rodriguez,Network Team,2024 04 02T10:45:23
600103,INC0010093,Website SSL certificate expiring,Closed,2   High,Security,Certificates,Michael Wong,Web Team,2024 04 18T09:35:27
600104,INC0010051,Website 404 error,Open,2   High,Infrastructure,Web Server,Unassigned,Web Team,2024 04 10T11:45:12
600105,INC0010022,Website loading error,Stalled,2   High,Infrastructure,Web Server,Michael Wong,Server Team,2024 04 04T10:32:19
600106,INC0010082,Access point replacement,Stalled,3   Moderate,Network,Wireless,Alex Rodriguez,Network Team,2024 04 16T14:28:37
600107,INC0010034,WiFi connectivity issue,Open,2   High,Network,Wireless,Unassigned,Network Team,2024 04 08T08:33:21
600108,INC0010070,Access request for new team member,Stalled,3   Moderate,Security,Access,Chris Parker,Identity Management,2024 04 15T08:12:45
600109,INC0010072,Outlook inbox rule setup,In Progress,4   Low,Software,Email,Emily Davis,Service Desk,2024 04 15T10:36:42
600110,INC0010049,Application performance issue,In Progress,2   High,Software,Custom App,Carlos Mendez,Application Support,2024 04 10T09:47:23
600111,INC0010095,Software installation package,Open,3   Moderate,Software,Deployment,Unassigned,Software Support,2024 04 18T11:58:15
600112,INC0010084,SharePoint site creation,In Progress,3   Moderate,Software,SharePoint,Emily Davis,SharePoint Team,2024 04 16T16:45:33
600113,INC0010067,Cloud storage access request,Open,4   Low,Software,Cloud Services,Unassigned,Cloud Team,2024 04 12T14:28:15
600114,INC0010015,SharePoint access denied,Open,3   Moderate,Software,SharePoint,Unassigned,SharePoint Team,2024 04 03T10:47:18
600115,INC0010089,Database corruption alert,Closed,1   Critical,Infrastructure,Database,Carlos Mendez,Database Team,2024 04 17T13:45:18
600116,INC0010039,Database backup failure,Open,1   Critical,Infrastructure,Database,Unassigned,Database Team,2024 04 08T14:45:23
600117,INC0010075,Report server timeout,Open,2   High,Infrastructure,Reporting,Unassigned,Business Intelligence,2024 04 15T14:38:15
600118,INC0010082,File access problem,Open,4   Low,Account,Authentication,Unassigned,Service Desk,2024 04 12T15:39:10
600119,INC0010085,File access problem,Closed,2   High,Infrastructure,MDM,Lisa Taylor,Software Support,2024 04 16T19:03:54
600120,INC0010098,Database performance issue,Closed,3   Moderate,Security,Storage,Michael Wong,Service Desk,2024 04 13T08:13:57
600121,INC0010028,Remote desktop connection failure,Closed,3   Moderate,Infrastructure,Server,Michael Wong,Server Team,2024 04 05T09:45:12
600122,INC0010081,Mobile app configuration,In Progress,3   Moderate,Account,Email,Alex Rodriguez,Service Desk,2024 04 05T09:58:38
600123,INC0010083,Software installation request,Closed,3   Moderate,Network,Authentication,Michael Wong,Database Team,2024 04 10T22:01:26
600124,INC0010088,Software installation request,Closed,3   Moderate,Mobile,Server,Sarah Miller,Network Team,2024 04 11T20:08:42
600125,INC0010031,Outlook crashing repeatedly,Closed,3   Moderate,Software,Email,Emily Davis,Software Support,2024 04 05T13:17:45
600126,INC0010020,Malware detection alert,Open,1   Critical,Security,Malware,Unassigned,Security Team,2024 04 04T08:05:23
600127,INC0010092,Zoom room controller update,In Progress,4   Low,Hardware,AV Equipment,John Smith,AV Support,2024 04 18T08:22:15
